SLURM_JOBID=71732
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.323990, worked 2540100,  iter 7, rank 0
Local work time: 3.301017, worked 2521560,  iter 7, rank 13
Local work time: 3.303000, worked 2456400,  iter 7, rank 15
Local work time: 3.417999, worked 2512260,  iter 7, rank 14
Local work time: 3.460980, worked 2528180,  iter 7, rank 5
Local work time: 3.844981, worked 2512760,  iter 7, rank 12
Local work time: 3.959001, worked 2520720,  iter 7, rank 10
Local work time: 2.887998, worked 2514380,  iter 8, rank 10
Local work time: 2.999977, worked 2513380,  iter 8, rank 5
Local work time: 3.062988, worked 2518000,  iter 8, rank 6
Local work time: 3.121998, worked 2481260,  iter 8, rank 2
Local work time: 3.107010, worked 2477640,  iter 8, rank 11
Local work time: 3.172009, worked 2531040,  iter 8, rank 1
Local work time: 3.276999, worked 2522400,  iter 8, rank 14
Local work time: 3.238001, worked 2477660,  iter 8, rank 3
Local work time: 3.305010, worked 2490900,  iter 8, rank 12
Local work time: 3.321980, worked 2529780,  iter 8, rank 0
Local work time: 3.319998, worked 2512760,  iter 8, rank 9
Local work time: 3.326980, worked 2493960,  iter 8, rank 7
Local work time: 3.303994, worked 2447580,  iter 8, rank 13
Local work time: 3.396997, worked 2505940,  iter 8, rank 4
Local work time: 3.583998, worked 2492860,  iter 8, rank 8
Local work time: 3.650001, worked 2490460,  iter 8, rank 15
Local work time: 2.872014, worked 2502240,  iter 9, rank 2
Local work time: 2.831316, worked 2547800,  iter 9, rank 4
Local work time: 2.415274, worked 2364680,  iter 9, rank 13
Local work time: 2.639018, worked 2438020,  iter 9, rank 8
Local work time: 2.638106, worked 2433020,  iter 9, rank 10
Local work time: 2.647997, worked 2458680,  iter 9, rank 11
Local work time: 2.665001, worked 2425280,  iter 9, rank 9
Local work time: 2.809178, worked 2455200,  iter 9, rank 7
Local work time: 2.973004, worked 2678460,  iter 9, rank 3
Local work time: 2.784001, worked 2478480,  iter 9, rank 12
Local work time: 3.108990, worked 2590740,  iter 9, rank 0
Local work time: 3.138998, worked 2499960,  iter 9, rank 14
Local work time: 3.127000, worked 2506020,  iter 9, rank 5
Local work time: 3.207988, worked 2573780,  iter 9, rank 1
Local work time: 3.234000, worked 2501160,  iter 9, rank 15
Local work time: 3.247999, worked 2546480,  iter 9, rank 6
Local work time: 2.842991, worked 2535160,  iter 10, rank 11
Local work time: 2.999996, worked 2524840,  iter 10, rank 1
Local work time: 3.079999, worked 2498820,  iter 10, rank 15
Local work time: 3.161001, worked 2536080,  iter 10, rank 5
Local work time: 3.255999, worked 2540260,  iter 10, rank 2
