SLURM_JOBID=71743
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=4
SLURM_NNODES=1
Local work time: 10.446005, worked 9917400,  iter 1, rank 2
Local work time: 10.500958, worked 9997380,  iter 1, rank 1
Local work time: 10.604965, worked 10113900,  iter 1, rank 0
Local work time: 10.609992, worked 9971320,  iter 1, rank 3
Local work time: 10.409000, worked 9890320,  iter 2, rank 3
Local work time: 10.565992, worked 10025400,  iter 2, rank 2
Local work time: 10.591983, worked 9970380,  iter 2, rank 1
Local work time: 10.623000, worked 10113900,  iter 2, rank 0
Local work time: 10.479998, worked 10097200,  iter 3, rank 0
Local work time: 10.497998, worked 9973580,  iter 3, rank 3
Local work time: 10.555000, worked 9997780,  iter 3, rank 2
Local work time: 10.649998, worked 9931440,  iter 3, rank 1
Local work time: 10.407000, worked 9986480,  iter 4, rank 3
Local work time: 10.427264, worked 9983860,  iter 4, rank 2
Local work time: 10.529001, worked 10041160,  iter 4, rank 1
Local work time: 10.610989, worked 9988500,  iter 4, rank 0
Local work time: 10.487274, worked 10081200,  iter 5, rank 1
Local work time: 10.444165, worked 10034680,  iter 5, rank 0
Local work time: 10.319999, worked 9897780,  iter 5, rank 3
Local work time: 10.391329, worked 9986340,  iter 5, rank 2
Local work time: 10.330000, worked 9977440,  iter 6, rank 0
Local work time: 10.375992, worked 9998920,  iter 6, rank 1
Local work time: 10.373155, worked 9970480,  iter 6, rank 2
Local work time: 10.373001, worked 10053160,  iter 6, rank 3
Local work time: 10.409110, worked 10022420,  iter 7, rank 2
Local work time: 10.494999, worked 10018420,  iter 7, rank 0
Local work time: 10.506005, worked 9983180,  iter 7, rank 1
Local work time: 10.521998, worked 9975980,  iter 7, rank 3
Local work time: 10.455999, worked 9938660,  iter 8, rank 0
Local work time: 10.547993, worked 10051640,  iter 8, rank 2
Local work time: 10.522999, worked 9978420,  iter 8, rank 3
Local work time: 10.700001, worked 10031280,  iter 8, rank 1
Local work time: 10.435998, worked 9979400,  iter 9, rank 0
Local work time: 10.483997, worked 10028500,  iter 9, rank 1
Local work time: 10.509996, worked 10033340,  iter 9, rank 2
Local work time: 10.565990, worked 9958760,  iter 9, rank 3
Local work time: 10.433997, worked 10024660,  iter 10, rank 0
Local work time: 10.543000, worked 9994040,  iter 10, rank 1
Local work time: 10.560999, worked 9962300,  iter 10, rank 2
Local work time: 10.769000, worked 10019000,  iter 10, rank 3
Total time: 107.407983
Local work time: 10.530995, worked 9997380,  iter 1, rank 1
Local work time: 10.551966, worked 9917400,  iter 1, rank 2
Local work time: 10.559073, worked 10059700,  iter 1, rank 3
Local work time: 10.615017, worked 10025520,  iter 1, rank 0
Local work time: 10.593998, worked 9944400,  iter 2, rank 2
Local work time: 10.617998, worked 10059900,  iter 2, rank 0
Local work time: 10.549000, worked 10025320,  iter 2, rank 3
Local work time: 10.803001, worked 9970380,  iter 2, rank 1
Local work time: 10.689996, worked 10023880,  iter 3, rank 0
Local work time: 10.697000, worked 10004760,  iter 3, rank 1
Local work time: 10.714999, worked 9946580,  iter 3, rank 3
Local work time: 10.824999, worked 10024780,  iter 3, rank 2
Local work time: 10.465000, worked 10069500,  iter 4, rank 0
Local work time: 10.258998, worked 9905480,  iter 4, rank 3
Local work time: 10.378223, worked 10041160,  iter 4, rank 1
Local work time: 10.494000, worked 9983860,  iter 4, rank 2
