SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.770895, worked 3759280, iter 7, rank 8
Local work time: 3.828686, worked 3817180, iter 7, rank 10
Local work time: 4.024695, worked 4013860, iter 7, rank 9
Local work time: 1.354984, worked 1333000, iter 8, rank 2
Local work time: 1.374392, worked 1349360, iter 8, rank 3
Local work time: 1.436289, worked 1412980, iter 8, rank 4
Local work time: 1.507035, worked 1485840, iter 8, rank 1
Local work time: 1.649529, worked 1629540, iter 8, rank 5
Local work time: 1.841935, worked 1823020, iter 8, rank 0
Local work time: 2.077369, worked 2061240, iter 8, rank 6
Local work time: 2.244018, worked 2217240, iter 8, rank 15
Local work time: 2.549610, worked 2535480, iter 8, rank 7
Local work time: 2.767280, worked 2744040, iter 8, rank 14
Local work time: 3.057956, worked 3045160, iter 8, rank 8
Local work time: 3.262288, worked 3248640, iter 8, rank 13
Local work time: 3.545388, worked 3533240, iter 8, rank 9
Local work time: 3.683827, worked 3671440, iter 8, rank 12
Local work time: 3.914862, worked 3903280, iter 8, rank 10
Local work time: 4.017530, worked 4006500, iter 8, rank 11
Local work time: 1.348192, worked 1325460, iter 9, rank 4
Local work time: 1.392464, worked 1369800, iter 9, rank 5
Local work time: 1.396692, worked 1373320, iter 9, rank 3
Local work time: 1.495886, worked 1473320, iter 9, rank 6
Local work time: 1.674580, worked 1653760, iter 9, rank 2
Local work time: 1.789842, worked 1771260, iter 9, rank 7
Local work time: 2.059889, worked 2041400, iter 9, rank 1
Local work time: 2.281121, worked 2265260, iter 9, rank 8
Local work time: 2.553984, worked 2538560, iter 9, rank 0
Local work time: 2.777416, worked 2764440, iter 9, rank 9
Local work time: 3.067398, worked 3039560, iter 9, rank 15
Local work time: 3.296260, worked 3283960, iter 9, rank 10
Local work time: 3.570680, worked 3545960, iter 9, rank 14
Local work time: 3.687326, worked 3676240, iter 9, rank 11
Local work time: 3.890269, worked 3878380, iter 9, rank 13
Local work time: 4.010875, worked 3999320, iter 9, rank 12
Local work time: 1.344390, worked 1319920, iter 10, rank 6
Local work time: 1.356583, worked 1332440, iter 10, rank 5
Local work time: 1.361877, worked 1337700, iter 10, rank 7
Local work time: 1.541964, worked 1520000, iter 10, rank 4
Local work time: 1.587727, worked 1567060, iter 10, rank 8
Local work time: 1.996445, worked 1979180, iter 10, rank 9
