SLURM_JOBID=71755
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 6.635055, worked 6607300, iter 4, rank 3
Local work time: 6.940841, worked 6914780, iter 4, rank 1
Local work time: 7.932047, worked 7905980, iter 4, rank 2
Local work time: 2.762231, worked 2711280, iter 5, rank 7
Local work time: 2.925242, worked 2874080, iter 5, rank 6
Local work time: 3.575760, worked 3534500, iter 5, rank 0
Local work time: 4.273050, worked 4231520, iter 5, rank 5
Local work time: 5.403711, worked 5373560, iter 5, rank 1
Local work time: 6.220741, worked 6189340, iter 5, rank 4
Local work time: 7.302636, worked 7277320, iter 5, rank 2
Local work time: 7.832854, worked 7808400, iter 5, rank 3
Local work time: 2.794048, worked 2744560, iter 6, rank 7
Local work time: 2.801173, worked 2749720, iter 6, rank 0
Local work time: 3.904148, worked 3864180, iter 6, rank 1
Local work time: 3.910428, worked 3870160, iter 6, rank 6
Local work time: 5.828520, worked 5799200, iter 6, rank 2
Local work time: 5.834186, worked 5802600, iter 6, rank 5
Local work time: 7.563606, worked 7539440, iter 6, rank 3
Local work time: 7.654882, worked 7630140, iter 6, rank 4
Local work time: 2.783692, worked 2732260, iter 7, rank 0
Local work time: 2.939253, worked 2890900, iter 7, rank 1
Local work time: 3.624199, worked 3581580, iter 7, rank 7
Local work time: 4.235380, worked 4199540, iter 7, rank 2
Local work time: 5.420973, worked 5388340, iter 7, rank 6
Local work time: 6.218575, worked 6193840, iter 7, rank 3
Local work time: 7.267320, worked 7240400, iter 7, rank 5
Local work time: 7.797796, worked 7773140, iter 7, rank 4
Local work time: 2.734468, worked 2682360, iter 8, rank 1
Local work time: 3.088850, worked 3042520, iter 8, rank 2
Local work time: 3.354657, worked 3308860, iter 8, rank 0
Local work time: 4.630929, worked 4596720, iter 8, rank 3
Local work time: 4.998280, worked 4961280, iter 8, rank 7
Local work time: 6.603589, worked 6578400, iter 8, rank 4
Local work time: 6.947271, worked 6920080, iter 8, rank 6
Local work time: 7.932886, worked 7909780, iter 8, rank 5
Local work time: 2.746343, worked 2695260, iter 9, rank 2
Local work time: 3.075871, worked 3027080, iter 9, rank 1
Local work time: 3.287332, worked 3244580, iter 9, rank 3
Local work time: 4.619685, worked 4579960, iter 9, rank 0
Local work time: 5.061198, worked 5029700, iter 9, rank 4
Local work time: 6.615465, worked 6585520, iter 9, rank 7
Local work time: 6.985274, worked 6960200, iter 9, rank 5
Local work time: 7.902242, worked 7877700, iter 9, rank 6
Local work time: 2.707683, worked 2657620, iter 10, rank 3
Local work time: 2.902045, worked 2852440, iter 10, rank 2
Local work time: 3.585212, worked 3546240, iter 10, rank 4
Local work time: 4.366926, worked 4328340, iter 10, rank 1
Local work time: 5.402824, worked 5374420, iter 10, rank 5
Local work time: 6.238957, worked 6209840, iter 10, rank 0
Local work time: 7.262292, worked 7238040, iter 10, rank 6
Total time: 78.369671
Local work time: 7.817878, worked 7793060, iter 10, rank 7
