SLURM_JOBID=71756
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=4
SLURM_NNODES=1
Local work time: 6.693449, worked 6585160, iter 1, rank 1
Local work time: 6.732562, worked 6626320, iter 1, rank 2
Local work time: 13.388239, worked 13331180, iter 1, rank 3
Local work time: 13.525520, worked 13457340, iter 1, rank 0
Local work time: 5.692044, worked 5580880, iter 2, rank 2
Local work time: 8.987910, worked 8900560, iter 2, rank 1
Local work time: 10.432812, worked 10370820, iter 2, rank 3
Local work time: 15.202774, worked 15147740, iter 2, rank 0
Local work time: 6.023059, worked 5914660, iter 3, rank 2
Local work time: 7.706697, worked 7620900, iter 3, rank 3
Local work time: 12.058186, worked 11986760, iter 3, rank 1
Local work time: 14.529143, worked 14477680, iter 3, rank 0
Local work time: 6.063932, worked 5951560, iter 4, rank 3
Local work time: 7.717748, worked 7619820, iter 4, rank 2
Local work time: 11.974580, worked 11915340, iter 4, rank 0
Local work time: 14.573892, worked 14513280, iter 4, rank 1
Local work time: 5.692946, worked 5585360, iter 5, rank 3
Local work time: 8.980413, worked 8908060, iter 5, rank 0
Local work time: 10.498419, worked 10420860, iter 5, rank 2
Local work time: 15.138148, worked 15085720, iter 5, rank 1
Local work time: 6.724124, worked 6614720, iter 6, rank 3
Local work time: 6.725238, worked 6613900, iter 6, rank 0
Local work time: 13.396842, worked 13338640, iter 6, rank 1
Local work time: 13.501730, worked 13432740, iter 6, rank 2
Local work time: 5.733222, worked 5623160, iter 7, rank 0
Local work time: 9.054553, worked 8969920, iter 7, rank 3
Local work time: 10.455636, worked 10393380, iter 7, rank 1
Local work time: 15.067042, worked 15013540, iter 7, rank 2
Local work time: 6.105839, worked 5991220, iter 8, rank 0
Local work time: 7.727266, worked 7639240, iter 8, rank 1
Local work time: 11.954085, worked 11881360, iter 8, rank 3
Local work time: 14.542702, worked 14488180, iter 8, rank 2
Local work time: 6.046695, worked 5939840, iter 9, rank 1
Local work time: 7.704949, worked 7607040, iter 9, rank 0
Local work time: 12.048287, worked 11989900, iter 9, rank 2
Local work time: 14.522277, worked 14463220, iter 9, rank 3
Local work time: 5.620113, worked 5510060, iter 10, rank 1
Local work time: 8.991061, worked 8920660, iter 10, rank 2
Local work time: 10.610425, worked 10538180, iter 10, rank 0
Total time: 145.686433
Local work time: 15.082886, worked 15031100, iter 10, rank 3
Local work time: 6.691930, worked 6585160, iter 1, rank 1
Local work time: 6.734674, worked 6626320, iter 1, rank 2
Local work time: 13.388637, worked 13331180, iter 1, rank 3
Local work time: 13.523455, worked 13457340, iter 1, rank 0
Local work time: 5.691793, worked 5580880, iter 2, rank 2
Local work time: 8.988666, worked 8900560, iter 2, rank 1
Local work time: 10.430348, worked 10370820, iter 2, rank 3
Local work time: 15.204408, worked 15147740, iter 2, rank 0
Local work time: 6.023940, worked 5914660, iter 3, rank 2
Local work time: 7.699530, worked 7620900, iter 3, rank 3
Local work time: 12.057702, worked 11986760, iter 3, rank 1
Local work time: 14.529812, worked 14477680, iter 3, rank 0
