27,891330
28,004934
28,361838
28,363874
27,983214
27,976001
27,935475
28,104285
28,010605
27,965649
19,222392
19,112374
19,322408
19,168888
18,858189
19,249804
19,313706
19,366376
19,197403
19,291377
18,916641
18,869290
18,887271
18,947253
18,723210
18,880224
18,852027
18,891507
18,744586
18,771635
18,443819
18,471732
19,043161
18,505364
18,233378
18,449193
18,439132
18,347996
18,107652
18,170841
18,193308
19,595122
18,003896
18,237871
18,099966
18,149608
18,167988
17,978949
17,986246
18,022433
17,908352
17,976167
17,535498
17,228181
17,332771
17,626112
17,596399
17,507376
17,584290
17,885818
17,740378
18,099233
18,533470
18,621848
17,750795
17,758410
17,906466
18,262952
17,996314
18,202290
18,720907
18,452705
18,150571
18,208321
18,593607
18,306330
18,363194
18,415326
18,521080
18,570746
