21,943579
21,848787
21,886477
22,009862
21,936734
21,876932
21,892851
21,897359
21,842494
21,929483
14,866357
15,249927
14,997683
15,072068
14,756663
14,928987
14,948480
14,731192
14,995551
14,882783
14,344006
14,288420
14,490809
14,303504
14,363556
14,485427
14,750953
14,645386
14,663768
14,722003
14,080295
13,960224
14,055651
14,301765
14,689253
14,478441
14,386695
14,333075
14,245014
14,495345
14,438385
14,294817
14,470487
14,441823
14,363454
14,180457
15,927235
14,311884
14,255798
14,256062
14,288609
14,166713
14,303614
14,415214
14,284552
14,109267
14,192254
14,297842
14,198732
14,154634
14,501314
14,194881
14,169103
13,917136
14,390017
14,126281
13,940947
14,272593
15,175545
14,428418
14,523029
15,072636
14,702967
14,765288
14,988894
14,896897
14,780369
14,431476
14,289503
14,546450
